store_id	fulfillment	subtotal	discount	service_fee	delivery_fee	tax	pretip_total
800730	delivery	16.98	0.00	0.99	0.00	0.99	18.96
800730	pickup	14.98	0.00	0.00	0.00	0.82	15.80
22969246	delivery	8.00	0.00	2.99	0.49	0.63	12.11
22969246	pickup	8.00	0.00	0.00	0.00	0.44	8.44
36042509	delivery	7.39	0.00	2.99	0.49	0.60	11.47
36042509	pickup	5.99	0.00	0.00	0.00	0.33	6.32
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
28087966	pickup	8.79	0.00	0.00	0.00	0.48	9.27
31014406	delivery	10.55	0.00	2.99	0.49	0.77	14.80
31014406	pickup	10.55	0.00	0.00	0.00	0.58	11.13
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
36042509	pickup	11.98	0.00	0.00	0.00	0.66	12.64
22969246	delivery	8.00	0.00	2.99	0.49	0.63	12.11
22969246	pickup	8.00	0.00	0.00	0.00	0.44	8.44
800730	delivery	16.98	0.00	0.99	0.00	0.99	18.96
800730	pickup	14.98	0.00	0.00	0.00	0.82	15.80
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
28087966	pickup	8.79	0.00	0.00	0.00	0.48	9.27
31014406	delivery	10.55	0.00	2.99	0.49	0.77	14.80
31014406	pickup	10.55	0.00	0.00	0.00	0.58	11.13
34162385	delivery	26.18	-10.89	1.31	0.00	0.91	17.51
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
